Product,Sale Date,Quantity Sold,Sale Price (USD),Total Sale (USD)
Smartwatch,2022-05-19,2,343.66,687.32
Smartphone,2022-01-04,19,866.53,16464.13
Smartphone,2022-07-23,8,939.96,7519.69
Keyboard,2023-06-30,15,97.51,1462.7
Printer,2023-12-02,5,232.76,1163.82
Camera,2024-01-28,7,1073.46,7514.19
Printer,2023-07-21,4,360.83,1443.32
Smartwatch,2023-10-04,17,273.92,4656.56
Smartphone,2022-07-10,6,569.06,3414.33
Monitor,2023-07-16,7,115.57,809.02
Printer,2023-11-12,3,375.21,1125.62
Laptop,2022-08-31,18,1303.18,23457.3
Keyboard,2022-09-05,16,129.7,2075.28
Tablet,2023-07-18,3,451.02,1353.06
Monitor,2023-10-28,6,490.64,2943.86
Tablet,2022-06-26,19,370.03,7030.51
Smartphone,2023-12-17,9,711.58,6404.2
Smartwatch,2023-10-18,14,156.0,2184.03
Smartphone,2022-08-07,9,393.48,3541.34
Headphones,2022-03-21,4,99.59,398.36
Smartphone,2022-03-05,9,381.13,3430.21
Keyboard,2023-09-21,9,116.69,1050.24
Smartphone,2022-05-11,6,683.76,4102.58
Camera,2022-09-09,16,1346.78,21548.46
Keyboard,2022-07-20,13,138.02,1794.2
Printer,2022-03-24,19,137.44,2611.39
Tablet,2022-08-06,5,241.35,1206.77
Mouse,2022-09-24,16,17.61,281.74
Keyboard,2023-12-16,18,94.84,1707.05
Keyboard,2023-11-01,12,75.76,909.13
Keyboard,2023-04-14,19,192.67,3660.65
Headphones,2022-11-25,5,192.2,960.98
Laptop,2023-09-21,4,1204.5,4817.99
Tablet,2022-12-22,8,630.99,5047.89
Monitor,2024-01-20,5,219.52,1097.62
Headphones,2023-10-28,14,79.31,1110.32
Monitor,2022-02-11,18,483.48,8702.68
Laptop,2023-02-07,15,1411.67,21175.04
Tablet,2022-01-16,16,515.47,8247.51
Headphones,2023-06-02,1,73.63,73.63
Printer,2023-11-12,12,174.75,2096.96
Headphones,2022-12-25,8,104.37,834.93
Tablet,2022-05-17,6,749.5,4497.01
Tablet,2022-12-29,17,753.89,12816.06
Printer,2022-10-05,3,265.6,796.81
Monitor,2024-01-15,10,486.1,4861.05
Monitor,2022-02-07,1,486.2,486.2
Camera,2023-06-23,5,1383.87,6919.36
Smartphone,2023-03-02,14,822.68,11517.58
Smartwatch,2022-08-07,7,107.87,755.1
Camera,2022-03-17,5,1024.53,5122.64
Smartwatch,2022-12-09,17,320.47,5448.01
Keyboard,2023-05-18,6,168.53,1011.15
Tablet,2024-01-09,11,260.65,2867.1
Mouse,2023-06-08,11,40.54,445.89
Smartwatch,2022-07-05,11,144.56,1590.15
Mouse,2023-10-15,15,89.83,1347.5
Monitor,2022-01-24,4,284.94,1139.75
Smartwatch,2022-07-13,9,156.1,1404.87
Printer,2022-01-03,7,62.76,439.34
